Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
Ice Age: The Meltdown,movie,"Adventure, Animation, Comedy",2006,tt0438097,6.8,302079,US
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,478854,JP
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,396739,JP
Dirty Harry,movie,"Action, Crime, Thriller",1971,tt0066999,7.7,171632,JP
The Queen,movie,"Biography, Drama",2006,tt0436697,7.3,116833,JP
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,255719,JP
Hannibal Rising,movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,117568,JP
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,256667,US
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,tt0498380,7.8,171830,JP
The Host,movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,135375,"JP, US"
Street Kings,movie,"Action, Crime, Thriller",2008,tt0421073,6.8,122530,JP
300,movie,"Action, Drama",2006,tt0416449,7.6,877035,JP
The Dreamers,movie,"Drama, Romance",2003,tt0309987,7.1,134707,JP
Sex and Lucía,movie,"Drama, Romance",2001,tt0254455,7,39242,JP
Lights in the Dusk,movie,"Crime, Drama",2006,tt0458242,6.8,8185,JP
Y tu mamá también,movie,Drama,2001,tt0245574,7.7,130635,US
Nostalghia,movie,Drama,1983,tt0086022,7.9,30881,JP
La Vie En Rose,movie,"Biography, Drama, Music",2007,tt0450188,7.5,91570,JP
The Departed,movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1451098,JP
The Warrior,movie,"Action, Drama, History",2001,tt0275083,7.2,11329,JP
The Virgin Suicides,movie,"Drama, Romance",1999,tt0159097,7.2,173739,JP
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6218,JP
Superman Returns,movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,293518,JP
Miss Congeniality,movie,"Action, Comedy, Crime",2000,tt0212346,6.3,235270,JP
Spy Game,movie,"Action, Crime, Thriller",2001,tt0266987,7.1,169996,JP
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,440703,JP
Office Space,movie,Comedy,1999,tt0151804,7.6,293737,US
28 Weeks Later,movie,"Horror, Sci-Fi",2007,tt0463854,6.9,299765,US
Live Free or Die Hard,movie,"Action, Thriller",2007,tt0337978,7.1,424559,"JP, US"
Die Hard with a Vengeance,movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,413694,"JP, US"
Die Hard 2,movie,"Action, Thriller",1990,tt0099423,7.1,388482,US
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,246799,JP
The Holiday,movie,"Comedy, Romance",2006,tt0457939,7,329642,JP
What's Eating Gilbert Grape,movie,Drama,1993,tt0108550,7.7,258045,JP
Bring It On,movie,"Comedy, Romance, Sport",2000,tt0204946,6.1,108289,JP
Night at the Museum,movie,"Adventure, Comedy, Family",2006,tt0477347,6.5,385416,JP
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,180713,US
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,400175,JP
Speed 2: Cruise Control,movie,"Action, Adventure, Crime",1997,tt0120179,3.9,87197,JP
A Time to Kill,movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,186151,JP
