Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
The Resurrection of the Golden Wolf,movie,"Action, Crime, Drama",1979,tt0080159,6.6,306,JP
The Beast to Die,movie,"Action, Crime, Drama",1980,tt0314913,6.7,319,JP
Urusei Yatsura 2: Beautiful Dreamer,movie,"Adventure, Animation, Comedy",1984,tt0088334,7.4,2281,JP
Vagabond,movie,Drama,1985,tt0089960,7.6,14261,JP
Ultraman Cosmos vs. Ultraman Justice: The Final Battle,movie,"Action, Adventure, Sci-Fi",2003,tt2243192,7.7,108,JP
Wild Target,movie,"Action, Comedy, Crime",2010,tt1235189,6.7,41177,JP
Camp Rock 2: The Final Jam,movie,"Comedy, Family, Music",2010,tt1252380,5.2,21279,US
Dragon Ball Z: Broly - Second Coming,movie,"Action, Adventure, Animation",1994,tt0142239,6.5,6379,JP
Frozen,movie,"Adventure, Thriller",2010,tt1323045,6.2,82610,JP
Malicious,movie,"Comedy, Drama, Romance",1973,tt0070358,6.3,3659,JP
Maiko haaaan!!!,movie,Comedy,2007,tt0907652,6.3,606,JP
Forever Enthralled,movie,"Biography, Drama, History",2008,tt0851532,6.7,1639,JP
The Grandmaster,movie,"Action, Biography, Drama",2013,tt1462900,6.6,37246,JP
Green Lantern,movie,"Action, Adventure, Sci-Fi",2011,tt1133985,5.5,299807,JP
13,movie,"Crime, Drama, Thriller",2010,tt0798817,6,44438,JP
T.R.Y.,movie,"Action, Comedy",2003,tt0328500,5.3,83,JP
Super,movie,"Action, Comedy, Crime",2010,tt1512235,6.7,84549,JP
The Hangover Part II,movie,Comedy,2011,tt1411697,6.5,545003,JP
The King's Speech,movie,"Biography, Drama, History",2010,tt1504320,8,714585,JP
Presents: Aikagi,movie,Romance,2006,tt0923854,6.5,28,JP
Rainbow Song,movie,"Drama, Romance",2006,tt0804513,7.3,1509,JP
Ashura-jô no hitomi,movie,"Action, Fantasy",2005,tt0459744,5.8,764,JP
City of Glass,movie,"Drama, History, Romance",1998,tt0179110,6.8,671,JP
The Protector,movie,"Action, Crime, Thriller",1985,tt0089847,5.7,5462,JP
Worst by Chance,movie,"Drama, Romance",2003,tt0468750,6.6,117,JP
Arch Angels,movie,"Adventure, Comedy, Fantasy",2006,tt0461612,5,226,JP
Cool Dimension,movie,Action,2006,tt0940824,3.8,105,JP
Sukeban deka,movie,"Action, Drama",1987,tt0188212,6.2,251,JP
Sukeban deka: Kazama sanshimai no gyakushû,movie,Action,1988,tt0184925,5.5,123,JP
Naoko,movie,"Drama, Romance, Sport",2008,tt1177161,6.2,150,JP
Soranin,movie,Drama,2010,tt1415228,7,967,JP
Tokyo Drifter,movie,"Action, Crime",1966,tt0061101,7.1,9933,JP
Don't Look Down,movie,"Drama, Romance",2008,tt1233487,5.9,3401,JP
Shaolin Temple,movie,Action,1976,tt0075202,6.8,1418,JP
Everybody's Fine,movie,Drama,1990,tt0100681,7.7,4574,JP
The Story of the Last Chrysanthemum,movie,"Drama, Romance",1939,tt0032156,7.8,4516,JP
United Red Army,movie,"Crime, Drama",2007,tt0923869,7.1,907,JP
Caterpillar,movie,"Drama, History, War",2010,tt1508290,6.7,1213,JP
Dragon Fist,movie,"Action, Drama",1979,tt0079484,6.1,2810,JP
The Ring Finger,movie,Drama,2005,tt0411117,6.1,1276,JP
Inseminoid,movie,"Horror, Sci-Fi",1981,tt0084090,4,4500,JP
The Warrior's Way,movie,"Action, Drama, Fantasy",2010,tt1032751,6.2,27444,US
"Today We Kill, Tomorrow We Die!",movie,"Drama, Thriller, Western",1968,tt0063379,6.1,1770,JP
Blue Valentine,movie,"Drama, Romance",2010,tt1120985,7.3,214736,JP
Samurai Spy,movie,"Action, Drama",1965,tt0059303,7,1899,JP
Sword of the Beast,movie,"Action, Drama",1965,tt0200768,7.5,3143,JP
Through the Olive Trees,movie,Drama,1994,tt0111845,7.7,10445,JP
Pokémon: Giratina and the Sky Warrior,movie,"Action, Adventure, Animation",2008,tt1160525,6,2995,US
Sister Street Fighter,movie,"Action, Crime",1974,tt0073714,6.4,1659,JP
"The Prince of Tennis: Two Samurais, the First Game",movie,"Animation, Sport",2005,tt1107334,5.9,140,JP
Once a Thief,movie,"Action, Comedy, Crime",1991,tt0101020,6.7,7471,JP
Dorian Gray,movie,"Horror, Thriller",1970,tt0065656,5.8,1315,JP
Legend of the Eight Samurai,movie,"Action, Adventure, Drama",1983,tt0086244,6.4,1345,JP
Bullet Train,movie,"Action, Crime, Drama",1975,tt0080479,6.8,1807,JP
Temptress Moon,movie,"Drama, Romance",1996,tt0116295,6.6,2058,JP
The Trip to Bountiful,movie,Drama,1985,tt0090203,7.4,5481,JP
Poetry,movie,Drama,2010,tt1287878,7.8,13857,JP
Hissatsu shikakenin,movie,"Action, Crime",1973,tt0070181,7,51,JP
Elite Squad 2: The Enemy Within,movie,"Action, Crime, Drama",2010,tt1555149,8,88013,JP
Independence Day: Resurgence,movie,"Action, Adventure, Sci-Fi",2016,tt1628841,5.2,192000,JP
A Good Day to Die Hard,movie,"Action, Thriller",2013,tt1606378,5.2,217036,US
Unknown,movie,"Action, Mystery, Thriller",2011,tt1401152,6.8,271291,JP
Tajomaru: Avenging Blade,movie,"Action, Crime, Drama",2009,tt1347008,5.2,350,JP
Return of the One-Armed Swordsman,movie,"Action, Adventure",1969,tt0064265,7.2,1470,JP
Return to the 36th Chamber,movie,"Action, Comedy",1980,tt0081494,6.9,4319,JP
License to Live,movie,"Comedy, Drama",1998,tt0197730,6.9,602,JP
Golgo 13: Assignment Kowloon,movie,"Action, Crime, Thriller",1977,tt0076281,6.3,635,JP
Scared Shrekless,movie,"Adventure, Animation, Comedy",2010,tt1725156,6.7,6434,US
Detective Dee: The Mystery of the Phantom Flame,movie,"Action, Adventure, Drama",2010,tt1123373,6.6,11998,JP
Double Suicide: Japanese Summer,movie,"Crime, Drama",1967,tt0062009,6.7,914,JP
The Dog of Flanders,movie,"Animation, Drama, Family",1997,tt0304072,7.7,756,JP
Game of Death II,movie,"Action, Crime, Mystery",1980,tt0076709,5.1,3701,JP
Night Catches Us,movie,"Drama, Romance",2010,tt0775543,6.2,1860,US
Cosmopolis,movie,"Crime, Drama, Fantasy",2012,tt1480656,5.1,50709,JP
Insidious,movie,"Horror, Mystery, Thriller",2010,tt1591095,6.8,346697,JP
Killer Elite,movie,"Action, Crime, Thriller",2011,tt1448755,6.4,136728,JP
The Bourne Legacy,movie,"Action, Adventure, Thriller",2012,tt1194173,6.6,319009,JP
Gravity,movie,"Drama, Sci-Fi, Thriller",2013,tt1454468,7.7,872350,JP
Moss,movie,"Crime, Drama, Mystery",2010,tt1694019,6.7,2588,JP
Tentacles,movie,"Action, Adventure, Comedy",1977,tt0076809,3.7,4633,JP
Once Upon a Time in High School: The Spirit of Jeet Kune Do,movie,"Action, Drama, History",2004,tt0390205,7.4,2801,JP
Quill: The Life of a Guide Dog,movie,Drama,2004,tt0400761,7.1,1782,JP
Stress Positions,movie,Comedy,2024,tt30319533,4.9,492,US
Emperor,movie,"Drama, History, War",2012,tt2103264,6.5,15075,JP
When Evil Lurks,movie,Horror,2023,tt16300962,6.9,45175,US
Sing,movie,"Animation, Comedy, Family",2016,tt3470600,7.1,196889,JP
Mr. Crocket,movie,Horror,2024,tt32916093,5.4,2990,US
Kokumon Gate,movie,Mystery,2019,tt13174762,,,JP
Late Night with the Devil,movie,Horror,2023,tt14966898,7,98132,US
Transformers: Age of Extinction,movie,"Action, Adventure, Sci-Fi",2014,tt2109248,5.6,335786,JP
Dinner in America,movie,"Comedy, Drama, Music",2020,tt9058654,7.5,9560,"JP, US"
Kiss Cam!,movie,,2020,,,,JP
Genge,movie,Comedy,2014,tt3883996,,,JP
Stolen Identity the Final Hacking Game,movie,"Mystery, Thriller, Crime",2024,tt33536422,,,JP
"See You Tomorrow, Everyone",movie,"Comedy, Drama",2013,tt2299471,7,334,JP
About You I Don't Know,movie,"Romance, Drama",2022,,,,JP
Captive State,movie,"Action, Horror, Sci-Fi",2019,tt5968394,6,58999,JP
Escape Room,movie,"Action, Adventure, Horror",2019,tt5886046,6.4,146885,US
Woman of the Photographs,movie,"Drama, Romance",2020,tt13129114,6,230,JP
The Hardness of Avocado,movie,"Comedy, Romance",2019,tt9800110,3.5,37,JP
Rare Objects,movie,Drama,2023,tt15836468,5.3,556,US
Momi's House,movie,,2020,,,,JP
Her Sketchbook,movie,"Drama, Romance",2017,tt6323858,6.4,187,JP
Jack Reacher,movie,"Action, Mystery, Thriller",2012,tt0790724,7,372977,JP
Abracadaver,movie,Comedy,2024,tt33525840,7.1,64,US
Sicario: Day of the Soldado,movie,"Action, Crime, Drama",2018,tt5052474,7.1,172463,JP
Sicario,movie,"Action, Crime, Drama",2015,tt3397884,7.7,490853,"JP, US"
The Monuments Men,movie,"Comedy, Drama, War",2014,tt2177771,6.1,143968,US
House of Darkness,movie,"Comedy, Horror, Mystery",2022,tt18224610,4.7,5007,US
La La Land,movie,"Comedy, Drama, Music",2016,tt3783958,8,695220,"JP, US"
29 + 1,movie,"Comedy, Drama, Fantasy",2017,tt6095004,6.7,594,JP
Ip Man: Kung Fu Master,movie,Action,2019,tt12567246,4.6,1258,"JP, US"
Murder on the Orient Express,movie,"Crime, Drama, Mystery",2017,tt3402236,6.5,303770,JP
The Founder,movie,"Biography, Drama",2016,tt4276820,7.2,185029,JP
Midway,movie,"Action, Drama, History",2019,tt6924650,6.7,96899,JP
The Guest,movie,"Action, Mystery, Thriller",2014,tt2980592,6.7,109764,JP
Revolt,movie,"Action, Adventure, Sci-Fi",2017,tt3722614,5.3,10409,JP
Status Update,movie,"Comedy, Fantasy, Romance",2018,tt5692390,5.8,6565,JP
Marshland,movie,"Crime, Mystery, Thriller",2014,tt3253930,7.2,37017,JP
Portrait of a Lady on Fire,movie,"Drama, Romance",2019,tt8613070,8.1,114138,US
Dual,movie,"Comedy, Drama, Sci-Fi",2022,tt9005184,5.8,13461,"JP, US"
Sting,movie,"Horror, Sci-Fi, Thriller",2024,tt20112746,5.7,12346,US
Joker,movie,"Crime, Drama, Thriller",2019,tt7286456,8.4,1556291,JP
The Corrupt,movie,Action,2008,,,,JP
John Wick,movie,"Action, Crime, Thriller",2014,tt2911666,7.4,758273,JP
Secretly Santa,movie,Romance,2021,tt14723400,5.4,581,US
All Fun and Games,movie,"Horror, Thriller",2023,tt10092698,4.3,3378,US
I Can Only Imagine,movie,"Biography, Drama, Family",2018,tt6450186,7.3,18958,JP
Miss Sloane,movie,Drama,2016,tt4540710,7.5,84498,JP
Tonbi,movie,"Drama, Family",2022,tt19632774,6.4,131,JP
Breathe without Water,movie,,2024,,,,JP
Sonic the Hedgehog,movie,"Action, Adventure, Comedy",2020,tt3794354,6.5,165797,JP
Once Upon a Time... in Hollywood,movie,"Comedy, Drama",2019,tt7131622,7.6,876255,US
Unplugging,movie,"Comedy, Romance",2022,tt10314040,4.4,1103,US
Who You Think I Am,movie,"Drama, Romance",2019,tt7552686,6.8,7782,JP
Hungry Hearts,movie,"Drama, Romance, Thriller",2014,tt3344922,6.5,6036,JP
Love & Pop,movie,Drama,1998,tt0168972,7.4,1996,JP
Suncoast,movie,Drama,2024,tt13650742,6.7,6527,US
Little Women,movie,"Drama, Romance",2019,tt3281548,7.8,255775,US
The Return of Tanya Tucker: Featuring Brandi Carlile,movie,Documentary,2022,tt17640752,7.3,282,US
Los Bando,movie,"Adventure, Comedy, Family",2018,tt6696124,6.5,446,JP
Up to His Ears,movie,"Action, Adventure, Comedy",1965,tt0059831,6.2,2445,JP
Cut Bank,movie,"Crime, Drama, Mystery",2014,tt1661820,6.1,14138,JP
Pacific Rim,movie,"Action, Adventure, Sci-Fi",2013,tt1663662,6.9,538312,JP
Prisoner's Daughter,movie,Drama,2022,tt4671326,6.4,2994,US
Ryuichi Sakamoto: Coda,movie,"Documentary, Music",2017,tt6578572,7.6,2078,JP
Lady Macbeth,movie,"Drama, Romance",2016,tt4291600,6.8,28038,JP
Tenet,movie,"Action, Sci-Fi, Thriller",2020,tt6723592,7.3,610534,JP
Wind River,movie,"Crime, Drama, Mystery",2017,tt5362988,7.7,287524,JP
A Christmas Switch,movie,"Comedy, Drama, Family",2018,tt9154566,6,1223,US
Katak: The Brave Beluga,movie,"Adventure, Animation, Comedy",2023,tt13952306,6,493,US
Hold Your Breath,movie,"Drama, Horror, Thriller",2024,tt12573480,5.3,5953,US
Non-Fiction,movie,"Comedy, Drama, Romance",2018,tt7250056,6.4,5908,JP
The Big Short,movie,"Biography, Comedy, Drama",2015,tt1596363,7.8,497268,JP
Poor Things,movie,"Comedy, Drama, Romance",2023,tt14230458,7.8,310003,US
Gauguin: Voyage to Tahiti,movie,"Biography, Drama, Romance",2017,tt6330052,6,2432,JP
The Ritual Killer,movie,"Crime, Mystery, Thriller",2023,tt13141250,4.3,7932,US
100% Wolf,movie,"Adventure, Animation, Comedy",2020,tt8774798,5.6,2528,US
Beauty and the Beast,movie,"Drama, Family, Fantasy",2014,tt2316801,6.4,22954,JP
LBJ,movie,"Biography, Drama, History",2016,tt4778988,6.5,7908,JP
Bohemian Rhapsody,movie,"Biography, Drama, Music",2018,tt1727824,7.9,607777,US
Sully,movie,"Biography, Drama",2016,tt3263904,7.4,304300,JP
Incarnate,movie,"Horror, Thriller",2016,tt3216348,5.3,14339,JP
Whiplash,movie,"Drama, Music",2014,tt2582802,8.5,1026851,JP
The King's Man,movie,"Action, Adventure, Thriller",2021,tt6856242,6.3,180554,JP
Better Days,movie,"Crime, Drama, Romance",2019,tt9586294,7.6,14159,JP
One Day,movie,"Drama, Romance",2011,tt1563738,7,171883,JP
Journey to the West: Conquering the Demons,movie,"Action, Adventure, Comedy",2013,tt2017561,6.7,14300,JP
Lakota Nation vs. United States,movie,"Documentary, History",2022,tt15468586,7.9,329,US
Ku! Kin-dza-dza,movie,"Animation, Comedy, Sci-Fi",2013,tt2659374,6,1028,JP
The Retirement Plan,movie,"Action, Comedy, Crime",2023,tt14827638,5.1,8597,US
X,movie,"Thriller, Horror",2024,,,,JP
Table for Six,movie,"Comedy, Drama, Romance",2022,tt21187542,6.9,1251,JP
Dragonkeeper,movie,"Adventure, Animation, Fantasy",2024,tt7093904,5.7,1228,US
The Birth of Kitaro: Mystery of GeGeGe,movie,"Action, Animation, Comedy",2023,tt16270512,7.2,399,JP
Walking on Sunshine,movie,"Comedy, Drama, Musical",2014,tt2107861,5.4,6462,JP
It Chapter Two,movie,"Drama, Fantasy, Horror",2019,tt7349950,6.5,313923,JP
Unhinged,movie,"Action, Thriller",2020,tt10059518,6,80036,JP
Fireheart,movie,"Adventure, Animation, Comedy",2022,tt8354218,6.2,3432,US
Memories of the Sword,movie,"Action, Drama, History",2015,tt3054798,6.4,2559,JP
Her,movie,"Drama, Romance, Sci-Fi",2013,tt1798709,8,685973,JP
I Feel Pretty,movie,"Comedy, Romance",2018,tt6791096,5.7,58047,"JP, US"
Terra Willy,movie,"Adventure, Animation, Comedy",2019,tt8329148,6.6,2406,US
Dallas Buyers Club,movie,"Biography, Drama",2013,tt0790636,7.9,526623,JP
Stockholm,movie,"Biography, Comedy, Crime",2018,tt6474040,6.1,15028,JP
A Quiet Place,movie,"Drama, Horror, Sci-Fi",2018,tt6644200,7.5,611523,JP
The Contract,movie,Comedy,1978,tt0077892,6.5,352,JP
Fright Night,movie,"Action, Comedy, Drama",2011,tt1438176,6.4,115305,US
Abraham Lincoln: Vampire Hunter,movie,"Action, Fantasy, Horror",2012,tt1611224,5.9,163327,US
Rampage,movie,"Action, Adventure, Sci-Fi",2018,tt2231461,6.1,189627,JP
The Revenant,movie,"Action, Adventure, Drama",2015,tt1663202,8,891814,JP
Argo,movie,"Biography, Drama, History",2012,tt1024648,7.7,645693,JP
The Cursed,movie,"Fantasy, Horror, Mystery",2021,tt9907782,6.2,18832,US
Ready Player One,movie,"Action, Adventure, Sci-Fi",2018,tt1677720,7.4,500839,"JP, US"
Criminal,movie,"Action, Sci-Fi, Thriller",2016,tt3014866,6.3,72011,JP
The Student,movie,"Comedy, Romance",1988,tt0096523,5.8,2398,JP
Three Nobunagas,movie,"Comedy, Drama, History",2019,tt10206204,4.6,31,JP
The Predator,movie,"Action, Adventure, Sci-Fi",2018,tt3829266,5.3,149732,US
The Conjuring,movie,"Horror, Mystery, Thriller",2013,tt1457767,7.5,571057,JP
Dolmen X,movie,"Comedy, Drama, Sci-Fi",2018,tt8523116,,,JP
Gone Girl,movie,"Drama, Mystery, Thriller",2014,tt2267998,8.1,1093429,JP
The Greatest Showman,movie,"Biography, Drama, Musical",2017,tt1485796,7.5,321105,JP
Sleeping Dogs,movie,"Crime, Mystery, Thriller",2024,tt8542964,6.1,15041,US
Mission: Impossible - Rogue Nation,movie,"Action, Adventure, Thriller",2015,tt2381249,7.4,417849,JP
Wonder,movie,"Drama, Family",2017,tt2543472,7.9,183931,JP
Momentum,movie,"Action, Crime, Thriller",2015,tt3181776,5.5,17133,JP
Red Right Hand,movie,"Action, Thriller",2024,tt19244260,5.4,4903,US
Like for Likes,movie,"Comedy, Romance",2016,tt5358570,6.4,739,JP
The Great Yokai War: Guardians,movie,"Adventure, Family, Fantasy",2021,tt13967368,5.6,151,JP
Desierto,movie,"Action, Adventure, Drama",2015,tt3147312,6.1,10945,US
Blue Giant,movie,"Animation, Drama, Music",2023,tt15737898,7.9,2445,JP
One Million Yen Girl,movie,Drama,2008,tt1077094,7.2,1878,JP
Brotherhood of Blades,movie,"Action, History",2014,tt4019426,6.6,3774,JP
Savage Salvation,movie,"Action, Thriller",2022,tt13055982,4.8,3155,"JP, US"
The Black Demon,movie,"Action, Drama, Horror",2023,tt10279472,3.7,9981,JP
Host,movie,"Horror, Mystery",2020,tt12749596,6.5,42460,JP
Jujutsu Kaisen 0,movie,"Action, Animation, Fantasy",2021,tt14331144,7.8,44032,JP
Kanon,movie,Drama,2016,,,,JP
Yourself and Yours,movie,"Comedy, Drama",2016,tt5907916,6.8,1593,JP
Hotel by the River,movie,Drama,2018,tt8725958,6.7,1732,JP
Tokyo Twilight,movie,Drama,1957,tt0051093,8.1,5149,JP
The Flavor of Green Tea Over Rice,movie,Drama,1952,tt0044982,7.7,3844,JP
An Autumn Afternoon,movie,Drama,1962,tt0056444,8,11047,JP
Early Summer,movie,"Comedy, Drama, Romance",1951,tt0043313,8.1,9923,JP
Siblings of the Cape,movie,Drama,2018,tt8585484,6.6,382,JP
Smokin' on the Moon,movie,"Comedy, Drama",2017,tt5872258,5.7,26,JP
The Assassin,movie,"Action, Drama, History",2015,tt3508840,6.3,18223,JP
Mr. Vampire Part 3,movie,"Action, Comedy, Horror",1987,tt0093422,6.7,797,JP
Mr. Vampire,movie,"Action, Comedy, Fantasy",1985,tt0089371,7.3,4803,JP
World War Z,movie,"Action, Adventure, Horror",2013,tt0816711,7,738047,JP
Hyena Road,movie,"Action, Drama, War",2015,tt4034452,6.5,9295,JP
Kinds of Kindness,movie,"Comedy, Drama, Horror",2024,tt22408160,6.6,44180,US
Charisma,movie,"Drama, Mystery",1999,tt0201517,6.8,2121,JP
Ensemble Stars!! Road to Show!!,movie,Animation,2022,tt16220566,8.4,15,JP
Muzzle,movie,"Action, Crime, Thriller",2023,tt17663876,5.5,3815,US
The Wolf of Wall Street,movie,"Biography, Comedy, Crime",2013,tt0993846,8.2,1630890,JP
Hellraiser,movie,"Horror, Mystery, Thriller",2022,tt0887261,5.9,50732,US
Babes,movie,Comedy,2024,tt21276958,6.3,4612,US
Ford v Ferrari,movie,"Action, Biography, Drama",2019,tt1950186,8.1,499679,US
Cash Out,movie,Action,2024,tt24131288,4.7,2153,US
Bill & Ted Face the Music,movie,"Adventure, Comedy, Music",2020,tt1086064,5.9,53929,JP
From Miyamoto to You,movie,Romance,2019,tt9575164,6.9,616,JP
BlackBerry,movie,"Biography, Comedy, Drama",2023,tt21867434,7.4,51255,US
Lux Æterna,movie,"Drama, Thriller",2019,tt10272534,6.2,7824,JP
Fly,movie,Documentary,2024,tt31189863,7.3,343,US
Terrifier,movie,"Horror, Thriller",2016,tt4281724,5.5,71837,JP
Drive,movie,"Action, Drama",2011,tt0780504,7.8,720075,JP
Blue Lock: Episode Nagi,movie,"Animation, Drama, Sport",2024,tt28671146,6.5,1339,JP
The Father,movie,"Drama, Mystery",2020,tt10272386,8.2,202368,JP
The Conjuring 2,movie,"Horror, Mystery, Thriller",2016,tt3065204,7.3,310291,JP
Where the Crawdads Sing,movie,"Drama, Mystery, Romance",2022,tt9411972,7.2,138044,US
The Accountant,movie,"Action, Crime, Drama",2016,tt2140479,7.3,331283,JP
Fresh,movie,"Horror, Thriller",2022,tt13403046,6.7,80294,US
All of Us Strangers,movie,"Drama, Romance",2023,tt21192142,7.6,60943,US
Legend of the Demon Cat,movie,"Adventure, Drama, Family",2017,tt6157626,6.2,3118,JP
Love's Stoppage Time,movie,"Drama, Mystery, Romance",2019,tt9816134,5.8,93,JP
The Offering,movie,Horror,2022,tt13103732,5.3,7591,US
Alien: Covenant,movie,"Horror, Sci-Fi, Thriller",2017,tt2316204,6.4,321112,US
Demolition,movie,"Comedy, Drama",2015,tt1172049,7,117234,JP
Prometheus,movie,"Adventure, Mystery, Sci-Fi",2012,tt1446714,7,665679,US
The Legacy of the Sun,movie,Drama,2011,tt1645116,5.8,82,JP
Haywire,movie,"Action, Drama, Thriller",2011,tt1506999,5.8,90498,JP
Bleed for This,movie,"Biography, Drama, Sport",2016,tt1620935,6.8,31442,JP
Divergent,movie,"Action, Adventure, Mystery",2014,tt1840309,6.6,497513,JP
The Divergent Series: Insurgent,movie,"Action, Adventure, Sci-Fi",2015,tt2908446,6.2,259859,JP
Allegiant,movie,"Action, Adventure, Mystery",2016,tt3410834,5.7,137745,JP
The Farewell,movie,"Comedy, Drama",2019,tt8637428,7.5,72555,JP
Boy Kills World,movie,"Action, Crime, Thriller",2023,tt13923084,6.4,28095,US
Blood for Dust,movie,"Action, Crime, Thriller",2023,tt10669888,5.2,1733,US
The Hovering Blade,movie,"Drama, Thriller",2009,tt1415224,5.9,189,JP
Flavor of Happiness,movie,Drama,2008,tt1305755,6.8,185,JP
Single8,movie,"Adventure, Comedy, Drama",2023,tt30633111,6.9,186,JP
Man of Steel,movie,"Action, Adventure, Sci-Fi",2013,tt0770828,7.1,822209,JP
In Time,movie,"Action, Sci-Fi, Thriller",2011,tt1637688,6.7,457208,JP
The Last Movie,movie,Drama,1971,tt0067327,6.1,2774,JP
M/Other,movie,Drama,1999,tt0201743,7.2,423,JP
The Roommate,movie,"Drama, Horror, Thriller",2011,tt1265990,4.8,41990,US
Where Is the Friend's House?,movie,"Drama, Family",1987,tt0093342,8.1,19772,JP
One-Armed Boxer,movie,"Action, Drama, Fantasy",1972,tt0067009,6.8,1538,JP
The Help,movie,Drama,2011,tt1454029,8.1,502281,US
Pokémon: Zoroark: Master of Illusions,movie,"Action, Adventure, Animation",2010,tt1690470,6.1,2439,US
Saint Seiya: Heaven Chapter - Overture,movie,"Animation, Fantasy",2004,tt0805605,7,1539,JP
The Divine Weapon,movie,"Adventure, Drama",2008,tt1185594,6.1,900,JP
Under the Hawthorn Tree,movie,"Drama, Romance",2010,tt1554523,7.1,3863,JP
Disciples of the 36th Chamber,movie,"Action, Comedy",1985,tt0089029,6.4,2226,JP
Yesterday,movie,"Action, Crime, Sci-Fi",2002,tt0326441,4.9,917,JP
Sister Street Fighter: Hanging by a Thread,movie,"Action, Crime",1974,tt0183704,6.6,579,JP
"Silent Night, Deadly Night Part 2",movie,"Horror, Thriller",1987,tt0093974,3.9,9262,JP
Higanjima: Escape from Vampire Island,movie,"Action, Adventure, Fantasy",2009,tt1270767,5.3,824,JP
Margin Call,movie,"Drama, Thriller",2011,tt1615147,7.1,148667,JP
The Geisha,movie,Drama,1983,tt0203224,6.9,365,JP
Henshin,movie,Romance,2005,tt0490970,4.8,58,JP
Mutant Girls Squad,movie,"Action, Comedy, Fantasy",2010,tt1590796,5.7,2057,JP
Death Note Relight - Visions of a God,movie,"Animation, Crime, Drama",2007,tt3355694,7.4,1648,JP
Fast Five,movie,"Action, Crime, Thriller",2011,tt1596343,7.3,413421,JP
"Sumo Do, Sumo Don't",movie,"Comedy, Drama, Sport",1992,tt0105388,7.2,1031,JP
The Man from Nowhere,movie,"Action, Crime, Drama",2010,tt1527788,7.7,76194,JP
About Her Brother,movie,Drama,2010,tt1345834,7,857,JP
Trigun: Badlands Rumble,movie,"Action, Adventure, Animation",2010,tt1703049,7.4,5999,"JP, US"
Mega Monster Battle: Ultra Galaxy Legends - The Movie,movie,"Action, Adventure, Family",2009,tt1467280,7,406,JP
Tomie: Another Face,movie,"Horror, Romance",1999,tt0284565,5.1,479,JP
Tomie: Forbidden Fruit,movie,Horror,2002,tt0348226,5.6,597,JP
Tomie: Re-birth,movie,Horror,2001,tt0348225,5.5,707,JP
Tomie: Replay,movie,Horror,2000,tt0279474,5.4,780,JP
My Wife Got Married,movie,"Comedy, Romance",2008,tt1329470,5.5,680,JP
Parallel Life,movie,Thriller,2010,tt1533085,5.9,504,JP
The Three Musketeers,movie,"Action, Adventure, Fantasy",2011,tt1509767,5.7,113006,JP
The Longest Night in Shanghai,movie,"Drama, Romance",2007,tt0798443,6.7,678,JP
The Other Woman,movie,Drama,2009,tt1032825,6.3,19935,JP
Café Lumière,movie,Drama,2003,tt0412596,6.8,3380,JP
Virgin Snow,movie,Romance,2007,tt0997155,6.4,979,JP
Loved Gun,movie,"Drama, Thriller",2004,tt0435153,6.7,271,JP
Gamera vs. Gyaos,movie,"Action, Family, Fantasy",1967,tt0061695,5.1,2571,JP
Sisters,movie,"Crime, Horror, Mystery",2006,tt0486652,3.9,1666,US
Parade,movie,Drama,2009,tt1493070,7.1,678,JP
Proxy War,movie,"Action, Drama",1973,tt0070244,7.3,1592,JP
Wanda Sykes: Tongue Untied,movie,"Comedy, Documentary",2003,tt0391525,6.8,244,US
Death of a Ninja,movie,"Action, Adventure, Fantasy",1982,tt0089691,5.7,629,JP
Hiroshima Death Match,movie,"Action, Crime, Drama",1973,tt0070245,7.5,1987,JP
300: Rise of an Empire,movie,"Action, Drama",2014,tt1253863,6.2,319881,JP
My Geeky Girlfriend,movie,"Comedy, Drama, Romance",2009,tt1424056,5.3,219,JP
On the Occasion of Remembering the Turning Gate,movie,Drama,2002,tt0313550,7.3,1510,JP
Jazz on a Summer's Day,movie,"Documentary, Music, Sport",1959,tt0052942,7.9,2017,JP
Angel,movie,"Fantasy, Romance",2005,tt0828120,6.3,158,JP
Who's Camus Anyway,movie,Drama,2005,tt0456873,7,543,JP
Tenjôjin to Akutojin: Saigo no tatakai,movie,"Animation, Drama",2009,tt1411966,6.5,9,JP
The Traveler,movie,Drama,1974,tt0071859,7.5,2252,JP
Message from Space,movie,"Action, Adventure, Sci-Fi",1978,tt0078435,4.9,1750,JP
The One-Armed Swordsman,movie,"Action, Drama",1967,tt0061597,7.2,3712,JP
Confessions,movie,"Drama, Thriller",2010,tt1590089,7.7,42850,JP
The Naked Kitchen,movie,"Drama, Romance",2009,tt1516552,5.7,470,JP
Love,movie,"Drama, Music, Sci-Fi",2011,tt1541874,5.4,9004,JP
Ocean Heaven,movie,Drama,2010,tt1498858,7.5,2793,JP
Border Line,movie,"Drama, Romance",2002,tt0337891,7.1,57,JP
"Gamera, the Guardian of the Universe",movie,"Action, Drama, Fantasy",1995,tt0113142,6.7,4232,JP
For Those We Love,movie,"Drama, War",2007,tt0882797,5.8,416,JP
Hitch-Hike,movie,"Crime, Drama, Horror",1977,tt0077188,6.8,3277,JP
Golgo 13,movie,"Action, Crime, Thriller",1973,tt0174699,6.1,386,JP
Happily Ever After,movie,"Comedy, Drama, Romance",2007,tt0997159,6.6,355,JP
